Gen	t_n31	t_n32	t_n33	t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	mu	sigma2	lnL
6026	0.9496165	0.5699042	0.0714206	0.5132771	0.4147455	0.1575383	0.0332702	0.8858891	0.8614556	0.8063470	0.6980741	0.4278727	0.3250126	0.1731462	0.8496362	0.8235327	0.8173407	0.6808817	0.6714316	0.5022581	0.3576060	0.1662836	0.0488821	0.6394365	0.5915686	0.3268928	0.5315914	0.1384952	0.2061519	0.1423599	0.1030431	-26.560
6028	0.9069799	0.5731234	0.1428619	0.4236981	0.4147455	0.1060563	0.0547304	0.8946958	0.8465264	0.7993623	0.6957002	0.4278727	0.4068406	0.1731462	0.8247547	0.8022073	0.7475786	0.6683123	0.6433558	0.5022581	0.3357307	0.1662836	0.0488821	0.6203436	0.6104246	0.3268928	0.5315914	0.0936749	0.2061519	0.1648602	0.1114400	-22.111
6030	0.9069799	0.4981222	0.1751044	0.4813119	0.4035442	0.0952354	0.0489932	0.8911352	0.8465264	0.7170679	0.6957002	0.4278727	0.4068406	0.1458435	0.8055593	0.7863800	0.7294709	0.6769827	0.5267674	0.5022581	0.3357307	0.1662836	0.0488821	0.6263650	0.5504545	0.3116737	0.5306853	0.1223415	0.2061519	0.1437921	0.1468589	-24.230
6032	0.8110213	0.4478480	0.0979305	0.4262259	0.3495580	0.0824948	0.0424389	0.8001684	0.7187581	0.6211384	0.6026293	0.3706318	0.3524134	0.2114355	0.7129103	0.6936243	0.6384976	0.6299450	0.4851553	0.3279030	0.2973218	0.1440381	0.0561609	0.5425698	0.5065277	0.2699779	0.4596901	0.0611347	0.1785729	0.1659996	0.1468589	-23.022
6034	0.9569183	0.5451890	0.2265240	0.5371422	0.4329527	0.1021757	0.0525636	0.8896807	0.8876446	0.7747683	0.7463998	0.4590542	0.4364894	0.2618781	0.8848564	0.8591036	0.7908253	0.7589585	0.6194771	0.4366261	0.4002923	0.1269866	0.0542754	0.5794874	0.5788451	0.3343871	0.5693593	0.0757197	0.2211754	0.1340250	0.1468589	-24.512
6036	0.9342251	0.5751046	0.2265240	0.5371422	0.5151811	0.1415301	0.0525636	0.9198147	0.9026705	0.6968072	0.6798351	0.4590542	0.5101013	0.2944115	0.8738299	0.8479451	0.7525590	0.6499641	0.6385710	0.4366261	0.4002923	0.1269866	0.1119388	0.5794874	0.5735005	0.3343871	0.4878014	0.0915213	0.2211754	0.1340250	0.1444715	-24.724
6038	0.9808780	0.6013237	0.2555781	0.5829146	0.5006334	0.1446083	0.0131104	0.9701141	0.9459139	0.8495501	0.6946207	0.3278806	0.5211954	0.3322911	0.8633991	0.8626200	0.8072408	0.6999702	0.5519291	0.4147913	0.3665669	0.1297484	0.0831086	0.5920905	0.5667936	0.3416596	0.5654760	0.1447134	0.2259857	0.1222353	0.1444715	-23.790
6040	1.0012652	0.6535503	0.2555781	0.6042644	0.5006334	0.1631779	0.0599145	0.9867403	0.9361535	0.8495501	0.5921134	0.3537537	0.5211954	0.4308753	0.8810180	0.8761504	0.8076506	0.7269455	0.5455952	0.3964999	0.3194717	0.1297484	0.0844843	0.5920905	0.5731760	0.3416596	0.5654760	0.1447134	0.2259857	0.1222353	0.1444715	-21.962
6042	0.8454131	0.6185311	0.1943924	0.6063466	0.2778395	0.0664191	0.0345315	0.8163642	0.7807427	0.6406484	0.4999479	0.2986901	0.5797425	0.4018214	0.7652250	0.7389700	0.5615108	0.5583261	0.4606705	0.4059347	0.2697443	0.1497846	0.1097688	0.4999286	0.4972824	0.2223876	0.4774567	0.1221880	0.2784457	0.1579303	0.1444715	-21.410
6044	0.7166446	0.5212275	0.2226691	0.5109599	0.3415932	0.1183555	0.0944018	0.6879388	0.6579210	0.4680524	0.3840647	0.2517020	0.3816240	0.2615323	0.6402887	0.6127907	0.4731774	0.4562485	0.3994435	0.3854256	0.2816705	0.1201611	0.0925007	0.4814278	0.4157696	0.1874030	0.3893395	0.0577301	0.2346423	0.1874129	0.0892729	-23.288
